Period,Strategy,Final NAV ($),Total return (%),CAGR (%),In-market vol (%),Sharpe,Max DD (%),Time in market (%),Trades,Win rate (%),Avg hold (days),Avg trade (%)
A,QQQ swing,516386.6867863593,5063.866867863593,15.660084554327725,25.913080961274463,0.7434351213803266,-49.89713324041313,79.84779745353433,165,64.24242424242425,33.06666666666667,2.938395320999269
A,QQQ buy & hold,164312.3997143553,1543.123997143553,10.876701971525371,26.953547615907837,0.5176465532355793,-82.9639027222064,100.0,1,100.0,6833.0,1543.123997143553
A,QLD swing,3075960.871249919,30659.608712499186,23.529244087422295,51.742106197239,0.6864982906743972,-81.12988536897808,79.84779745353433,165,60.60606060606061,33.06666666666667,5.514671809687901
A,QLD buy & hold,164715.0572428592,1547.1505724285923,10.886712257430698,53.79265267844091,0.46093415438550206,-98.77698345350427,100.0,1,100.0,6833.0,1547.1505724285923
A,TQQQ swing,9063413.783770168,90534.13783770168,28.552472950133456,77.73931347644991,0.7060898912041389,-95.94596671983201,79.84779745353433,165,60.0,33.06666666666667,8.862732676509175
A,TQQQ buy & hold,48642.152234779795,386.421522347798,6.008486832292026,80.86070937201241,0.4774379806759579,-99.96742415544664,100.0,1,100.0,6833.0,386.421522347798
B,QQQ swing,237969.83258374213,2279.698325837421,21.601014677699794,20.316668625099776,1.1676678831411846,-25.939729169391683,79.82864137086904,51,72.54901960784314,63.94117647058823,7.320106706690951
B,QQQ buy & hold,187640.39163163342,1776.4039163163343,19.831114158126105,20.599473845709458,0.9817122337728569,-35.11873136576583,100.0,1,100.0,4085.0,1776.4039163163343
B,QLD swing,2289606.0128925317,22796.060128925317,39.8321956366297,40.50021771616839,1.1072645901549012,-48.48526975358874,79.82864137086904,51,68.62745098039215,63.94117647058823,14.739570699314807
B,QLD buy & hold,1116721.6645732454,11067.216645732455,33.7724952258234,41.09288066998845,0.9150496277629417,-63.68448573947483,100.0,1,100.0,4085.0,11067.216645732455
B,TQQQ swing,17718876.3929155,177088.763929155,58.650773262476854,60.949989891400136,1.120094390971797,-65.78459372403513,79.82864137086904,51,68.62745098039215,63.94117647058823,24.14698556531282
B,TQQQ buy & hold,4798721.358375739,47887.213583757395,46.36483149910822,61.798415196901026,0.929101314888981,-80.98901198486156,100.0,1,100.0,4085.0,47887.213583757395
