config,entry,exit,tp,sl,CAGR,Sharpe,MaxDD,Finalx,TimeInMkt,Trades
best-CAGR,-0.03,0.045,,,28.821919383989968,0.7109237134714446,-98.18912825320594,960.2431655758049,94.89243377725742,66
best-CAGR,-0.03,0.045,,0.1,14.065681192359914,0.5299194586707319,-98.16237348412038,35.46192587858651,80.22830381969852,108
best-CAGR,-0.03,0.045,,0.15,11.016143454413374,0.4935453785058966,-99.2497007326922,17.00782163245332,84.73584077272062,97
best-CAGR,-0.03,0.045,,0.2,25.672317358583573,0.6788229983458165,-97.72215903205978,490.78385200333844,93.20942484999269,83
best-CAGR,-0.03,0.045,,0.3,25.697252198291153,0.6771360442220273,-98.56989654429668,493.4310941537637,93.88262842089858,75
best-CAGR,-0.03,0.045,,0.4,29.301184750744657,0.7160972174786641,-97.99729386909266,1061.9663586143683,94.48265769061905,72
best-CAGR,-0.03,0.045,,0.5,29.510812452442913,0.7179512114081298,-97.90736576698598,1109.6521461882426,94.73145031464949,69
best-CAGR,-0.03,0.045,0.1,,-2.1770648243581103,0.25859373107235767,-97.90276329066403,0.5505522501788129,24.557295477828188,124
best-CAGR,-0.03,0.045,0.1,0.1,-4.796427133195936,0.0974200160809079,-95.76576077716425,0.26374309824913206,12.483535782233279,191
best-CAGR,-0.03,0.045,0.1,0.15,-7.630666425999499,0.05778448396932959,-97.2639037973308,0.11622079451482882,14.0933704083126,173
best-CAGR,-0.03,0.045,0.1,0.2,-6.290740631830715,0.10884579795021468,-97.70136589220641,0.17174353415297605,16.361773745060734,161
best-CAGR,-0.03,0.045,0.1,0.3,0.2769345522673383,0.27289984226989605,-98.74538208517298,1.077870395778328,20.21074198741402,150
best-CAGR,-0.03,0.045,0.1,0.4,0.8602336539818678,0.2948935834406912,-97.07319004038239,1.2614419787179636,21.923020635152934,138
best-CAGR,-0.03,0.045,0.1,0.5,-3.733748603723752,0.22156386284042068,-98.31993025009895,0.3563672988650029,23.313332357675982,130
best-CAGR,-0.03,0.045,0.2,,-0.6399823610424238,0.30121674229485074,-98.60689370112289,0.8402217852618038,32.650373188936044,104
best-CAGR,-0.03,0.045,0.2,0.1,-4.137923624116057,0.14245689575562395,-95.84198649288281,0.31794527990217386,17.98624323137714,176
best-CAGR,-0.03,0.045,0.2,0.15,-7.098846538105641,0.10370618781233532,-98.01291040079857,0.13579686923341242,20.620518074052395,155
best-CAGR,-0.03,0.045,0.2,0.2,-2.331036573713585,0.21696055361361788,-97.30166589260376,0.5275320055275284,22.85965169032636,143
best-CAGR,-0.03,0.045,0.2,0.3,-2.1951180601176845,0.2500497584359156,-99.33586273758841,0.5478038650380026,28.74286550563442,125
best-CAGR,-0.03,0.045,0.2,0.4,-1.4204897744305334,0.2701290024403704,-97.97316890134326,0.6784606862618822,29.503878237962827,118
best-CAGR,-0.03,0.045,0.2,0.5,-3.323577969777658,0.246802081522945,-98.88400019858459,0.39991349615896554,31.391775208546758,110
best-CAGR,-0.03,0.045,0.3,,7.1299155743862475,0.4292737857901355,-97.87529750648272,6.471913489111835,40.12878677008634,97
best-CAGR,-0.03,0.045,0.3,0.1,-2.4816275273000343,0.20134844941133828,-96.86508198292634,0.5059156073680299,25.054880725889067,163
best-CAGR,-0.03,0.045,0.3,0.15,0.1444361526102389,0.2719875657314604,-95.84680613174189,1.0399116120685556,29.19654617298405,146
best-CAGR,-0.03,0.045,0.3,0.2,3.25688897269103,0.33673490050923754,-97.6115829727084,2.3846012491556956,30.952729401434215,133
best-CAGR,-0.03,0.045,0.3,0.3,3.644442580161278,0.3611491367621443,-99.10869699803246,2.639560195278641,36.36762768915557,117
best-CAGR,-0.03,0.045,0.3,0.4,5.250511939770552,0.3908350323841727,-98.210718689166,4.005081940400034,37.070100980535635,109
best-CAGR,-0.03,0.045,0.3,0.5,4.236464286522579,0.3805826540485788,-98.29792775846083,3.0803837697003105,38.87018878969706,103
best-CAGR,-0.03,0.045,0.5,,8.06903469174789,0.4498521062308079,-98.49940852449535,8.199977695011368,48.90970291233719,85
best-CAGR,-0.03,0.045,0.5,0.1,-2.927759244128425,0.21698831891925863,-99.1782343597816,0.4467673063588433,36.79203863603103,152
best-CAGR,-0.03,0.045,0.5,0.15,-1.0359863663064628,0.26513182084523634,-99.09141055590037,0.753991834314487,37.992097175471976,134
best-CAGR,-0.03,0.045,0.5,0.2,5.995476552211243,0.39687493880191155,-98.19970234863561,4.849176679534886,43.02648909702913,116
best-CAGR,-0.03,0.045,0.5,0.3,5.497692377136398,0.39985796296368836,-98.86670961712136,4.268101199632519,45.58758963851895,103
best-CAGR,-0.03,0.045,0.5,0.4,7.711956743622483,0.4362232649707144,-98.73630294570206,7.496156256102877,46.04127030586858,97
best-CAGR,-0.03,0.045,0.5,0.5,6.349301859623302,0.42084854538108535,-98.79789518573087,5.307768519655264,47.665739792184986,91
best-CAGR,-0.03,0.045,0.75,,16.61182795169274,0.5655558061396333,-97.28447405965527,64.52544119955567,57.95404653885555,83
best-CAGR,-0.03,0.045,0.75,0.1,4.32472539545341,0.35711496714644925,-98.21553401161465,3.1518950583749166,43.05575881750329,145
best-CAGR,-0.03,0.045,0.75,0.15,6.204989948920492,0.3987620383143536,-98.20932639457635,5.115895204779326,48.324308502853796,129
best-CAGR,-0.03,0.045,0.75,0.2,14.405750732181133,0.5295256593451717,-96.1335567838947,38.44308529314779,53.914825113420164,113
best-CAGR,-0.03,0.045,0.75,0.3,12.73074259679101,0.5083825693778586,-98.15552233570232,25.77109873835714,54.383140641006875,100
best-CAGR,-0.03,0.045,0.75,0.4,15.818261745948426,0.5521362389698983,-97.71316698268645,53.61910623090922,55.451485438314066,93
best-CAGR,-0.03,0.045,0.75,0.5,14.756151256563488,0.539562619310476,-97.82462658261913,41.7667118441344,56.71008341870335,89
best-CAGR,-0.03,0.045,1.0,,20.87210276272158,0.6191020524478252,-98.45997932095017,170.7175317289635,68.85701741548368,80
best-CAGR,-0.03,0.045,1.0,0.1,4.431094703215832,0.3666016219784915,-98.85518666814765,3.240203967478018,48.690180008780914,135
best-CAGR,-0.03,0.045,1.0,0.15,3.799393091368053,0.36521033694059435,-99.3754401939277,2.748676776179629,51.9683887018879,122
best-CAGR,-0.03,0.045,1.0,0.2,16.02496058937819,0.554194345912421,-97.863786092913,56.27521151319193,63.383579686813995,108
best-CAGR,-0.03,0.045,1.0,0.3,15.908728842353348,0.5543931319098139,-98.83693153433751,54.76641411268695,65.97394994877799,95
best-CAGR,-0.03,0.045,1.0,0.4,20.049544556966637,0.6075513075315545,-98.70309832659903,141.86220658212162,66.35445631494218,90
best-CAGR,-0.03,0.045,1.0,0.5,18.94863112071141,0.5945118501029134,-98.76630895045085,110.50385432334836,67.61305429533148,86
best-Sharpe,-0.03,0.045,,,28.821919383989968,0.7109237134714446,-98.18912825320594,960.2431655758049,94.89243377725742,66
best-Sharpe,-0.03,0.045,,0.1,14.065681192359914,0.5299194586707319,-98.16237348412038,35.46192587858651,80.22830381969852,108
best-Sharpe,-0.03,0.045,,0.15,11.016143454413374,0.4935453785058966,-99.2497007326922,17.00782163245332,84.73584077272062,97
best-Sharpe,-0.03,0.045,,0.2,25.672317358583573,0.6788229983458165,-97.72215903205978,490.78385200333844,93.20942484999269,83
best-Sharpe,-0.03,0.045,,0.3,25.697252198291153,0.6771360442220273,-98.56989654429668,493.4310941537637,93.88262842089858,75
best-Sharpe,-0.03,0.045,,0.4,29.301184750744657,0.7160972174786641,-97.99729386909266,1061.9663586143683,94.48265769061905,72
best-Sharpe,-0.03,0.045,,0.5,29.510812452442913,0.7179512114081298,-97.90736576698598,1109.6521461882426,94.73145031464949,69
best-Sharpe,-0.03,0.045,0.1,,-2.1770648243581103,0.25859373107235767,-97.90276329066403,0.5505522501788129,24.557295477828188,124
