cycle,bank,region,first_hike,months_vs_Fed
1999 dot-com,Fed,US,1999-06-30,0.0
1999 dot-com,ECB,EU,1999-11-04,4.2
1999 dot-com,BoJ,Japan,2000-08-11,13.4
2004 housing,Fed,US,2004-06-30,0.0
2004 housing,Brazil,EM,2004-09-15,2.5
2004 housing,ECB,EU,2005-12-01,17.0
2004 housing,BoJ,Japan,2006-07-14,24.4
2021 post-COVID,Brazil,EM,2021-03-17,-12.0
2021 post-COVID,Russia,EM,2021-03-19,-11.9
2021 post-COVID,Mexico,EM,2021-06-24,-8.7
2021 post-COVID,Fed,US,2022-03-17,0.0
2021 post-COVID,ECB,EU,2022-07-21,4.1
2021 post-COVID,BoJ,Japan,2024-03-19,24.1
