Period,Strategy_kind,Strategy,Final NAV ($),Total return (%),CAGR (%),Annual vol (%),Sharpe,Max DD (%),Max DD duration (days),Dot-com peak,Trough,DD (%),Recovery,Total contributed ($),IRR (%/yr)
A,bah,QQQ Buy & Hold,165770.1712784293,1557.7017127842928,10.896042846969678,26.939415437114988,0.5184249018974518,-82.9639027222064,3747,2000-03-27,2002-10-09,-82.9639027222064,2015-02-20,,
A,bah,QLD Buy & Hold,167193.32069212335,1571.9332069212335,10.930963986894904,53.764421393183646,0.46163670847566374,-98.77698345350427,5136,2000-03-27,2002-10-09,-98.64638762986593,2020-08-26,,
A,bah,TQQQ Buy & Hold,38291.84581360139,282.9184581360139,5.069480276646021,80.44649311589134,0.46463164120202677,-99.96742415544664,6578,2000-03-27,2002-10-09,-99.94382426936725,not yet,,
A,dca,QQQ Monthly DCA,4002703.3968938184,1124.0683170929108,15.301129675823704,36.29381283095298,0.999197158284105,-51.82352539551176,561,,,,,327000.0,15.301129675823704
A,dca,QLD Monthly DCA,16454574.396612788,4931.979937802075,23.04661936342159,59.72967534718819,0.881477822668542,-87.25087403150974,904,,,,,327000.0,23.04661936342159
A,dca,TQQQ Monthly DCA,42157389.93347702,12792.168175375235,28.202607672906645,86.5772745160325,0.8710908195782365,-96.80140147044149,1175,,,,,327000.0,28.202607672906645
B,bah,QQQ Buy & Hold,189305.12799765225,1793.0512799765224,19.84331274476827,20.58647180633567,0.982696628539641,-35.11873136576583,493,,,,,,
B,bah,QLD Buy & Hold,1133523.5922818505,11235.235922818505,33.800389332915096,41.0669113298067,0.9158741229345996,-63.68448573947483,629,,,,,,
B,bah,TQQQ Buy & Hold,3777626.263203332,37676.26263203332,44.09099183517134,60.945179221059355,0.9076812255708576,-81.65985180200212,762,,,,,,
B,dca,QQQ Monthly DCA,1245006.1372543483,535.2072128848715,20.12506381506063,37.130352800322655,1.3295169529314783,-33.76755576713955,389,,,,,196000.0,20.12506381506063
B,dca,QLD Monthly DCA,4570580.518088261,2231.928835759317,33.370857580288,51.0797782591092,1.2457791189153198,-63.30783545783927,622,,,,,196000.0,33.370857580288
B,dca,TQQQ Monthly DCA,11493048.58891824,5763.800300468491,42.92976991929812,67.97587442937403,1.170396152487669,-81.55894239577417,659,,,,,196000.0,42.92976991929812
