cycle,index,QT_cycle,assigned_P,assigned_P_drawdown_%,peak_to_trough_m,window_max_dd_%,window_dd_peak,window_dd_trough,window_peak_to_trough_m
1972-74,SPX,False,1973-01-11,48.2,20.7,48.2,1973-01-11,1974-10-03,20.7
1972-74,IXIC,False,1973-01-11,59.9,20.7,59.9,1973-01-11,1974-10-03,20.7
1977-80,SPX,False,1980-11-28,27.1,20.4,19.1,1976-12-31,1978-03-06,14.1
1977-80,IXIC,False,1981-05-29,28.8,14.5,24.9,1980-02-08,1980-03-27,1.6
1994,SPX,False,no burst,,,19.9,1990-07-16,1990-10-11,2.9
1994,IXIC,False,no burst,,,30.7,1990-07-16,1990-10-16,3.0
1999,SPX,False,2000-03-24,49.1,30.5,49.1,2000-03-24,2002-10-09,30.5
1999,IXIC,False,2000-03-10,77.9,31.0,77.9,2000-03-10,2002-10-09,31.0
2004,SPX,False,2007-10-09,56.8,17.0,18.6,2007-10-09,2008-03-10,5.0
2004,IXIC,False,2007-10-31,55.6,16.3,24.1,2007-10-31,2008-03-10,4.3
2015-18,SPX,True,no burst,,,19.8,2018-09-20,2018-12-24,3.1
2015-18,IXIC,True,2015-07-20,18.2,6.8,23.6,2018-08-29,2018-12-24,3.8
2021-22,SPX,True,2022-01-03,25.4,9.3,25.4,2022-01-03,2022-10-12,9.3
2021-22,IXIC,True,2021-11-19,36.4,13.3,36.4,2021-11-19,2022-12-28,13.3
