cycle,index,m3_variant,m3_label,M1,M1_core,M2,M3,M4,QT,P,P_status,P_close,P_trough_date,P_drawdown,P-M1,P-M2,P-M3,P-M4,P-QT,M1_gap_to_M4_m,M2_gap_to_M4_m,M2_degenerate,M1_degenerate
1972-74,SPX,,N/A,1972-08-01,1969-11-01,1972-01-14,,1973-01-01,,1973-01-11,ok,120.24,1974-10-03,0.48203592814371254,5.4,11.9,,0.3,,5.0,11.6,False,False
1972-74,IXIC,,N/A,1972-08-01,1969-11-01,1972-01-14,,1973-01-01,,1973-01-11,ok,136.839996,1974-10-03,0.5990207497521411,5.4,11.9,,0.3,,5.0,11.6,False,False
1977-80,SPX,,Volcker Saturday announcement,1976-12-01,1969-11-01,1977-04-14,1979-10-06,1977-08-01,,1980-11-28,ok,140.52,1982-08-12,0.27113578138343297,47.9,43.5,13.8,39.9,,8.0,3.6,False,False
1977-80,IXIC,,Volcker Saturday announcement,1976-12-01,1969-11-01,1977-04-14,1979-10-06,1977-08-01,,1981-05-29,ok,223.470001,1982-08-13,0.2878686253731212,53.9,49.5,19.7,45.9,,8.0,3.6,False,False
1994,SPX,,surprise hike (M3 ≈ M4),1990-05-01,1989-09-01,1993-09-07,1994-02-04,1994-02-04,,,no burst,,,,,,,,,45.2,4.9,False,True
1994,IXIC,,surprise hike (M3 ≈ M4),1990-05-01,1989-09-01,1993-09-07,1994-02-04,1994-02-04,,,no burst,,,,,,,,,45.2,4.9,False,True
1999,SPX,,FOMC adopts tightening bias (announced),1994-05-01,1989-09-01,1998-10-16,1999-05-18,1999-06-30,,2000-03-24,ok,1527.46,2002-10-09,0.4914694983829364,70.8,17.2,10.2,8.8,,62.0,8.4,False,True
1999,IXIC,,FOMC adopts tightening bias (announced),1994-05-01,1989-09-01,1998-10-16,1999-05-18,1999-06-30,,2000-03-10,ok,5048.620117,2002-10-09,0.7793238629207799,70.3,16.8,9.8,8.3,,62.0,8.4,False,True
2004,SPX,,"""patient"" language shift",2004-02-01,2003-12-01,2004-03-24,2004-01-28,2004-06-30,,2007-10-09,ok,1565.15,2009-03-09,0.5677538894035716,44.2,42.5,44.4,39.3,,4.9,3.2,False,False
2004,IXIC,,"""patient"" language shift",2004-02-01,2003-12-01,2004-03-24,2004-01-28,2004-06-30,,2007-10-31,ok,2859.120117,2009-03-09,0.5562830650392014,44.9,43.2,45.1,40.0,,4.9,3.2,False,False
2015-18,SPX,a,Bernanke taper testimony,2015-01-01,2014-12-01,2008-12-16,2013-05-22,2015-12-16,2017-10-01,,no burst,,,,,,,,,11.5,84.0,True,False
2015-18,SPX,b,taper announced,2015-01-01,2014-12-01,2008-12-16,2013-12-18,2015-12-16,2017-10-01,,no burst,,,,,,,,,11.5,84.0,True,False
2015-18,IXIC,a,Bernanke taper testimony,2015-01-01,2014-12-01,2008-12-16,2013-05-22,2015-12-16,2017-10-01,2015-07-20,ok,5218.859863,2016-02-11,0.1824191574388706,6.6,79.1,25.9,-4.9,-26.4,11.5,84.0,True,False
2015-18,IXIC,b,taper announced,2015-01-01,2014-12-01,2008-12-16,2013-12-18,2015-12-16,2017-10-01,2015-07-20,ok,5218.859863,2016-02-11,0.1824191574388706,6.6,79.1,19.0,-4.9,-26.4,11.5,84.0,True,False
2021-22,SPX,a,taper announced,2020-05-01,2021-02-01,2017-09-07,2021-11-03,2022-03-16,2022-06-01,2022-01-03,ok,4796.56,2022-10-12,0.2542509631902864,20.1,51.9,2.0,-2.4,-4.9,22.5,54.2,True,False
2021-22,SPX,b,"Powell retires ""transitory""",2020-05-01,2021-02-01,2017-09-07,2021-11-30,2022-03-16,2022-06-01,2022-01-03,ok,4796.56,2022-10-12,0.2542509631902864,20.1,51.9,1.1,-2.4,-4.9,22.5,54.2,True,False
2021-22,IXIC,a,taper announced,2020-05-01,2021-02-01,2017-09-07,2021-11-03,2022-03-16,2022-06-01,2021-11-19,ok,16057.44043,2022-12-28,0.3639527990451963,18.6,50.4,0.5,-3.8,-6.4,22.5,54.2,True,False
2021-22,IXIC,b,"Powell retires ""transitory""",2020-05-01,2021-02-01,2017-09-07,2021-11-30,2022-03-16,2022-06-01,2021-11-19,ok,16057.44043,2022-12-28,0.3639527990451963,18.6,50.4,-0.4,-3.8,-6.4,22.5,54.2,True,False
