cycle,index,P @10%,P @15%,P @20%,P-M4_m @10%,P-M4_m @15%,P-M4_m @20%
1972-74,IXIC,1973-01-11,1973-01-11,1973-01-11,0.3,0.3,0.3
1972-74,SPX,1973-01-11,1973-01-11,1973-01-11,0.3,0.3,0.3
1977-80,IXIC,1981-05-29,1981-05-29,1981-05-29,45.9,45.9,45.9
1977-80,SPX,1980-11-28,1980-11-28,1980-11-28,39.9,39.9,39.9
1994,IXIC,no burst,no burst,no burst,,,
1994,SPX,no burst,no burst,no burst,,,
1999,IXIC,2000-03-10,2000-03-10,2000-03-10,8.3,8.3,8.3
1999,SPX,2000-03-24,2000-03-24,2000-03-24,8.8,8.8,8.8
2004,IXIC,2007-10-31,2007-10-31,2007-10-31,40.0,40.0,40.0
2004,SPX,2007-10-09,2007-10-09,2007-10-09,39.3,39.3,39.3
2015-18,IXIC,2015-07-20,2015-07-20,no burst,-4.9,-4.9,
2015-18,SPX,2015-05-21,no burst,no burst,-6.9,,
2021-22,IXIC,2021-11-19,2021-11-19,2021-11-19,-3.8,-3.8,-3.8
2021-22,SPX,2022-01-03,2022-01-03,2022-01-03,-2.4,-2.4,-2.4
