window_end,M+1,M+2,M+3,M+4,M+5,M+6,M+7,M+8,M+9,M+10,M+11,M+12,cum_12m
1997-01,-5.1,-6.7,3.2,11.1,3.0,10.5,-0.4,6.2,-5.5,0.4,-1.9,3.1,17.4
1999-01,-8.7,7.6,3.3,-2.8,8.7,-1.8,3.8,0.2,8.0,12.5,22.0,-3.2,57.2
1999-12,-3.2,19.2,-2.6,-15.6,-11.9,16.6,-5.0,11.7,-12.7,-8.3,-22.9,-4.9,-39.3
2007-05,-0.0,-2.2,2.0,4.0,5.8,-6.9,-0.3,-9.9,-5.0,0.3,5.9,4.6,-3.1
2010-11,6.2,1.8,3.0,-0.0,3.3,-1.3,-2.2,-0.6,-6.4,-6.4,11.1,-2.4,4.9
2012-08,1.6,-4.5,1.1,0.3,4.1,0.6,3.4,1.9,3.8,-1.5,6.6,-1.0,17.0
2019-03,4.7,-7.9,7.4,2.1,-2.6,0.5,3.7,4.5,3.5,2.0,-6.4,-10.1,-0.4
2020-12,1.4,0.9,0.4,5.4,-1.5,5.5,1.2,4.0,-5.3,7.3,0.3,0.7,21.4
2024-02,1.8,-4.4,6.9,6.0,-0.8,0.6,2.7,-0.5,6.2,0.5,1.6,-4.0,17.1
2025-01,-4.0,-8.2,0.9,9.6,6.6,3.7,1.6,5.6,4.7,-1.5,-0.5,0.9,19.5
median,0.7,-3.3000000000000003,2.5,3.05,3.15,0.6,1.4,2.95,-0.75,0.35,0.9500000000000001,-1.7,17.05
