window_end,M+1,M+2,M+3,M+4,M+5,M+6,M+7,M+8,M+9,M+10,M+11,M+12,cum_12m
1997-01,0.6,-4.3,5.8,5.9,4.3,7.8,-5.7,5.3,-3.4,4.5,1.6,1.0,24.7
1999-01,-3.2,3.9,3.8,-2.5,5.4,-3.2,-0.6,-2.9,6.3,1.9,5.8,-5.1,9.0
1999-12,-5.1,-2.0,9.7,-3.1,-2.2,2.4,-1.6,6.1,-5.3,-0.5,-8.0,0.4,-10.1
2007-05,-1.8,-3.2,1.3,3.6,1.5,-4.4,-0.9,-6.1,-3.5,-0.6,4.8,1.1,-8.5
2010-11,6.5,2.3,3.2,-0.1,2.8,-1.4,-1.8,-2.1,-5.7,-7.2,10.8,-0.5,5.6
2012-08,2.4,-2.0,0.3,0.7,5.3,0.9,3.1,2.0,3.7,-2.5,4.8,-2.9,16.5
2019-03,3.9,-6.6,6.9,1.3,-1.8,1.7,2.0,3.4,2.9,-0.2,-8.4,-12.5,-8.8
2020-12,-1.1,2.6,4.2,5.2,0.5,2.2,2.3,2.9,-4.8,6.9,-0.8,4.4,26.9
2024-02,3.1,-4.2,4.8,3.5,1.1,2.3,2.0,-1.0,5.7,-2.5,2.7,-1.4,16.8
2025-01,-1.4,-5.8,-0.8,6.2,5.0,2.2,1.9,3.5,2.3,0.1,-0.1,1.4,14.9
median,-0.25000000000000006,-2.6,4.0,2.4,2.15,1.9500000000000002,0.6499999999999999,2.45,-0.55,-0.35,2.1500000000000004,-0.04999999999999999,11.95
