,eq_ret_3m,eq_vol_3m,eq_dd_12m,eq_mom_12m,ff_chg_3m,real_ff,cpi_yoy,cpi_yoy_chg_3m,y2_minus_ff,y2_chg_3m,fwd_6m_%,fwd_12m_%,pattern,distance,n_features
1954-07-31,9.271,7.323,0.0,24.768,,0.539,0.261,-0.376,,,18.62,40.933,HOLD | infl-dn | eq-up | low-vol,0.664,7
1954-08-31,2.193,8.681,-4.422,27.916,,1.22,0.0,-0.861,,,23.232,44.754,HOLD | infl-dn | eq-up | mid-vol,0.906,7
1954-09-30,10.613,8.141,-1.162,38.373,,1.368,-0.298,-0.933,,,13.216,35.159,HOLD | infl-dn | eq-up | low-vol,0.88,7
1954-10-31,2.591,8.154,-3.297,29.095,0.05,1.703,-0.853,-1.115,,,19.823,33.649,HOLD | infl-dn | eq-up | low-vol,0.961,8
1954-11-30,14.784,7.879,-0.897,38.288,-0.39,1.091,-0.261,-0.261,,,10.718,32.915,CUT | infl-dn | eq-up | low-vol,0.736,8
1954-12-31,11.359,8.312,0.0,45.022,0.21,1.652,-0.372,-0.075,,,14.036,26.404,HIKE | infl-flat | eq-up | low-vol,0.826,8
1955-01-31,15.625,11.056,-0.327,40.452,0.54,2.021,-0.631,0.222,,,18.81,19.629,HIKE | infl-up | eq-up | mid-vol,0.755,8
1955-02-28,7.36,10.745,-1.05,40.574,0.46,1.92,-0.63,-0.369,,,17.465,23.341,HIKE | infl-dn | eq-up | mid-vol,0.8,8
1955-03-31,1.668,12.666,-2.505,35.783,0.07,1.87,-0.52,-0.148,,,19.382,32.832,HOLD | infl-dn | eq-flat | high-vol,0.821,8
1955-04-30,3.631,12.501,-0.939,34.324,0.04,1.691,-0.261,0.37,,,11.538,27.45,HOLD | infl-up | eq-up | mid-vol,0.743,8
1955-05-31,3.128,12.206,-1.07,29.873,0.14,2.024,-0.594,0.036,,,20.047,19.23,HOLD | infl-flat | eq-up | mid-vol,0.74,8
1955-06-30,12.165,9.717,0.0,40.466,0.29,2.494,-0.854,-0.334,,,10.846,14.477,HIKE | infl-dn | eq-up | mid-vol,0.8,8
1955-07-31,14.647,9.49,-0.548,40.933,0.25,2.052,-0.372,-0.112,,,0.689,13.488,HIKE | infl-dn | eq-up | mid-vol,0.744,8
1955-08-31,13.901,10.327,-1.325,44.754,0.53,2.444,-0.484,0.11,,,5.002,10.028,HIKE | infl-up | eq-up | mid-vol,0.817,8
1955-09-30,6.434,15.92,-4.295,35.159,0.54,2.031,0.149,1.003,,,11.266,3.847,HIKE | infl-up | eq-up | high-vol,0.779,8
1955-10-31,-2.711,16.237,-7.21,33.649,0.56,1.866,0.374,0.747,,,14.265,7.652,HIKE | infl-up | eq-dn | high-vol,0.999,8
1955-11-30,5.396,17.064,-1.939,32.915,0.39,1.977,0.373,0.858,,,-0.681,-0.945,HIKE | infl-up | eq-up | high-vol,0.728,8
1955-12-31,4.145,11.969,-2.004,26.404,0.3,2.106,0.374,0.224,,,3.276,2.617,HIKE | infl-up | eq-up | mid-vol,0.631,8
1956-01-31,3.496,10.07,-5.581,19.629,0.21,2.226,0.224,-0.15,,,12.711,2.054,HIKE | infl-dn | eq-up | mid-vol,0.684,8
1956-02-29,-0.374,8.825,-2.306,23.341,0.15,2.351,0.149,-0.224,,,4.786,-4.588,HOLD | infl-dn | eq-flat | mid-vol,0.855,8
1956-03-31,6.838,9.621,-0.573,32.832,0.02,2.127,0.373,-0.0,,,-6.668,-9.22,HOLD | infl-flat | eq-up | mid-vol,0.649,8
1956-04-30,10.406,9.012,-1.003,27.45,0.17,2.097,0.523,0.298,,,-5.788,-5.457,HOLD | infl-up | eq-up | mid-vol,0.557,8
